intercept,c1,region,product
-26.1972836598728,921.641384955658,NE,ORA
-66.908967823787,1779.52125594277,MA,ORA
-34.6227276030348,988.419947573989,SE,ORA
-30.5861091750526,1358.69503060333,MW,ORA
-6.53704052081456,808.150270300949,DS,ORA
4.89929967302461,418.688353410436,NW,ORA
-10.4984843745795,657.551705935283,SW,ORA
32.2070899501856,646.755841531668,NE,POJ
142.982605307261,1165.85451950966,MA,POJ
40.1682385849414,794.77991703735,SE,POJ
60.4717659098563,802.315263723372,MW,POJ
54.3192103539702,627.286366862309,DS,POJ
38.5921541272058,83.2777062207454,NW,POJ
46.8645717969913,175.150492868357,SW,POJ
-0.290871227639962,1116.94244067082,NE,ROJ
-9.45060745689996,2176.40349701196,MA,ROJ
-17.6404873484692,982.582802129717,SE,ROJ
26.9401370591885,947.80790141789,MW,ROJ
10.4258869610238,726.525691763776,DS,ROJ
20.971915092091,235.275609397765,NW,ROJ
31.9709071814229,656.619418760555,SW,ROJ
-17.9132276085509,1064.05624782169,NE,FCOJ
-22.3605125075169,1093.58912749059,MA,FCOJ
-28.8335313462361,1257.72237203117,SE,FCOJ
-12.8222920742861,1416.59035918991,MW,FCOJ
17.0863307689656,833.827798778626,DS,FCOJ
21.3862121977778,315.036657057335,NW,FCOJ
18.226039456343,635.682057080153,SW,FCOJ
18.226039456343,635.682057080153,NA,NA
